company_id,familymart,ihi,itochu,jfe-steel,marubeni,mitsubishi-corp,mitsubishi-materials,mitsui-es,ms-japan,nomura,ntt-data,ntt-data-at,ntt-data-es,ntt-docomo,ntt-docomo-business,ntt-east,ntt-holding,ntt-west,nyk,sekisui-chem,seven-i,sumitomo-corp,toyota
ntt-data-at,0.03209894502991363,0.0579556187703333,0.15037784879404328,0.06560649387608611,0.038544730287578335,0.09988089401805732,0.07419507753126152,0.06420052367973499,0.11067928676147,0.09047915654925848,0.21733843185353263,1.0000000000000007,0.10445439862989352,0.1177871331066729,0.14788941204474132,0.07193382274785937,0.17269610008093297,0.17362302515553213,0.059730281919358245,0.049265366573488074,0.024328821994665416,0.11791240670136559,0.009237550026770744
ntt-data-es,0.03503782519682866,0.056114071479560296,0.10023015518802617,0.12812241325966794,0.03483503603813474,0.08271976252570289,0.08224184348343824,0.0713036903550487,0.07267446384338769,0.04286835804849655,0.16014619953491765,0.10445439862989352,0.9999999999999998,0.07989332268064026,0.12271965371901757,0.10218976762973367,0.10060013167791879,0.11731026039788728,0.08775734719630811,0.04642224232643639,0.120027614792653,0.06861962987162464,0.04944550153325911
ntt-docomo,0.04909285832696674,0.04077741563633747,0.16844986255527497,0.06802848927026621,0.04192420079796058,0.1162889162504275,0.07016617980427328,0.07641773365613574,0.11766658063431941,0.052363999340025835,0.15509054313477919,0.1177871331066729,0.07989332268064026,0.9999999999999998,0.23577462532008198,0.1579873895239013,0.08582530980705495,0.1842296440081544,0.045199840139368105,0.033779120383174994,0.07485900146161947,0.11732074062135402,0.05496759754668236
ntt-docomo-business,0.04267960343633589,0.026735024509080767,0.11025881697956079,0.07436797919145165,0.028999935243202074,0.08868332573833904,0.056044177650916516,0.04915595206457392,0.1297672642928911,0.034735450126614234,0.19527327975008069,0.14788941204474132,0.12271965371901757,0.23577462532008198,1.0,0.1432411273453169,0.1443176093416921,0.19966764947640664,0.05284551607101661,0.016054230895160046,0.04769615645020638,0.09785947226058123,0.04550467498351818
ntt-east,0.07839631454358457,0.06791650866039829,0.0631560474840853,0.10611341235375966,0.09085787235504847,0.10551925595461667,0.09943032806390557,0.08605301106750898,0.047432606394824516,0.09642281357493736,0.1059406191163009,0.07193382274785937,0.10218976762973367,0.1579873895239013,0.1432411273453169,0.9999999999999997,0.06585745299352498,0.17864666659988213,0.06143960105089497,0.05171790163893978,0.12586255653673584,0.07166185405555127,0.09182188105978266
ntt-holding,0.02892150240138801,0.0746528409383215,0.12878602566594746,0.04583105086943109,0.03930285138055543,0.08479460165168887,0.06128531192209263,0.04975323052232913,0.10474886171844859,0.06577972223498842,0.1503830895822703,0.17269610008093297,0.10060013167791879,0.08582530980705495,0.1443176093416921,0.06585745299352498,0.9999999999999993,0.16340731491539132,0.06407697440375681,0.04178079000386837,0.047490149797569735,0.0903820498557671,0.027816614969951556
ntt-west,0.036690456843321125,0.08659080725317923,0.10245309293036156,0.06786536935064927,0.034715484137206626,0.07442223147058165,0.06713110589148254,0.09273486017999305,0.07343803018647387,0.06759486656108579,0.18754496700725645,0.17362302515553213,0.11731026039788728,0.1842296440081544,0.19966764947640664,0.17864666659988213,0.16340731491539132,1.000000000000004,0.09087599218567281,0.02952864913905352,0.0644656780096168,0.09937876269302393,0.03550123587739668
nyk,0.04903944273913291,0.10496534289965018,0.10250352998395239,0.14459358732066957,0.05522324096538969,0.1389027624422587,0.08222052512930031,0.12714966218970408,0.06523036068348881,0.055167315090316305,0.08830343047520234,0.059730281919358245,0.08775734719630811,0.045199840139368105,0.05284551607101661,0.06143960105089497,0.06407697440375681,0.09087599218567281,1.0000000000000127,0.053198161519246966,0.07394520217573843,0.11976857431644697,0.05752363136474602
sekisui-chem,0.08387718669308233,0.10667186742206708,0.027611335617090275,0.16294382933206528,0.03726045766400797,0.10268549276958644,0.09368490937886012,0.14722977947244503,0.022492961732477956,0.05616429716814965,0.012733823391678202,0.049265366573488074,0.04642224232643639,0.033779120383174994,0.016054230895160046,0.05171790163893978,0.04178079000386837,0.02952864913905352,0.053198161519246966,1.0000000000000002,0.022814900704453887,0.05153228844835642,0.025261821005422867
seven-i,0.12468310627813943,0.03655056804319435,0.05698180241891847,0.10179849097114416,0.09517349786846245,0.1502530665131182,0.09499245812395504,0.08800941660606332,0.07942715137737061,0.05183758981239526,0.09552710829223511,0.024328821994665416,0.120027614792653,0.07485900146161947,0.04769615645020638,0.12586255653673584,0.047490149797569735,0.0644656780096168,0.07394520217573843,0.022814900704453887,1.0000000000000027,0.08915838947815577,0.07537475473085271
sumitomo-corp,0.05401204362648994,0.10708083311570021,0.18963090258198875,0.12643300188777332,0.07347590255954245,0.18172098443466575,0.133602584482672,0.11659487684402237,0.11385951790930066,0.09123221247788532,0.1131171246496273,0.11791240670136559,0.06861962987162464,0.11732074062135402,0.09785947226058123,0.07166185405555127,0.0903820498557671,0.09937876269302393,0.11976857431644697,0.05153228844835642,0.08915838947815577,0.9999999999999999,0.08505182210102358
toyota,0.05065876104328163,0.05000565483974896,0.05627351566350808,0.1442482269326539,0.053570976095347035,0.07953402261073587,0.05561252155207619,0.04294567597348781,0.023993838967011943,0.0726705171373306,0.04628024814765497,0.009237550026770744,0.04944550153325911,0.05496759754668236,0.04550467498351818,0.09182188105978266,0.027816614969951556,0.03550123587739668,0.05752363136474602,0.025261821005422867,0.07537475473085271,0.08505182210102358,0.9999999999999991
